Year,Month,Day,Temperature,Humidity,Wind Speed,Pressure,Precipitation
2013,01,1,9.3,95.7,3.7,999.6,0.00
2013,01,2,5.3,100.0,4.7,1005.5,0.00
2013,01,3,5.0,100.0,6.0,1011.4,0.00
2013,01,5,1.0,100.0,2.0,1013.0,0.00
2013,01,9,8.8,92.0,3.8,1005.5,0.00
2013,01,11,12.5,97.0,2.0,1003.1,0.00
2013,01,12,14.0,77.0,15.0,1000.6,0.00
2013,01,16,10.8,88.6,19.0,998.5,0.00
2013,01,17,14.0,94.0,17.0,996.7,0.00
2013,01,18,16.0,85.0,29.5,989.9,0.00
2013,01,19,10.0,82.0,46.0,965.4,0.00
2013,01,20,10.0,87.8,19.8,985.6,0.00
2013,01,22,8.4,85.0,33.9,990.8,0.00
2013,01,23,11.3,88.0,22.0,997.7,0.00
2013,01,24,12.0,88.0,20.0,996.7,0.00
2013,01,25,10.0,100.0,5.7,994.8,0.00
2013,01,27,14.0,91.6,17.2,997.9,0.00
2013,01,29,2.7,100.0,0.0,1007.5,0.00
2013,01,31,4.7,100.0,0.6,1010.4,0.00
2013,02,1,7.8,73.5,2.0,1005.5,0.00
2013,02,5,9.5,100.0,8.0,1005.5,0.00
2013,02,11,7.0,84.0,22.0,993.8,0.00
2013,02,14,8.7,98.0,0.0,1002.6,0.00
2013,02,15,3.0,100.0,0.8,999.1,0.00
2013,02,16,9.0,93.0,0.0,997.7,0.00
2013,02,17,11.5,91.0,7.5,992.3,0.00
2013,02,18,10.0,94.0,2.0,989.9,0.00
2013,02,19,9.8,98.3,5.8,986.1,0.00
2013,02,20,9.0,93.0,9.0,994.8,0.00
2013,02,21,13.2,92.8,16.4,990.9,0.00
2013,02,22,11.0,76.0,43.0,983.0,0.00
2013,02,27,8.5,79.5,12.5,988.4,0.00
2013,03,3,11.0,88.0,15.0,988.9,0.00
2013,03,4,11.0,90.0,22.7,971.3,0.00
2013,03,5,14.0,91.0,14.5,969.8,0.00
2013,03,6,14.4,89.7,21.2,976.6,0.00
2013,03,7,17.0,85.7,31.5,979.9,0.00
2013,03,8,14.0,88.0,20.0,986.0,0.00
