Algorithm;Date;Temperature;Temperature Prediction;Algorithm;Date;Temperature;Temperature Prediction;Algorithm;Date;Temperature;Temperature Prediction
Support Vector Regression;1/5/22;21,9;22,39121036;Random Forest;1/5/22;21,9;22,22099222;XGBoost;1/5/22;21,9;21,89990807
;2/5/22;18,1;18,36425306;;2/5/22;18,1;18,38487771;;2/5/22;18,1;18,10037613
;3/5/22;18,6;19,0621235;;3/5/22;18,6;18,95363655;;3/5/22;18,6;18,16291618
;4/5/22;21;21,4553631;;4/5/22;21;21,50130927;;4/5/22;21;21,52323532
;5/5/22;22,6;22,90372849;;5/5/22;22,6;22,67601617;;5/5/22;22,6;22,60012817
;6/5/22;24,3;24,52091443;;6/5/22;24,3;24,54462862;;6/5/22;24,3;24,30023003
;7/5/22;24,4;24,680241;;7/5/22;24,4;25,27795417;;7/5/22;24,4;24,06258202
;8/5/22;25,3;24,80331058;;8/5/22;25,3;25,35568387;;8/5/22;25,3;24,71976471
;9/5/22;26,8;26,39286251;;9/5/22;26,8;26,71623139;;9/5/22;26,8;26,80032539
;10/5/22;27,3;27,34033338;;10/5/22;27,3;27,660371;;10/5/22;27,3;27,29999733
;11/5/22;27;28,08519259;;11/5/22;27;27,94743402;;11/5/22;27;27,00007248
;12/5/22;26,7;27,79825644;;12/5/22;26,7;27,64197684;;12/5/22;26,7;26,69968605
;13/5/22;26,4;26,52169585;;13/5/22;26,4;26,48259748;;13/5/22;26,4;26,40006828
;14/5/22;28;27,93007968;;14/5/22;28;28,61836045;;14/5/22;28;27,16400337
;15/5/22;23,1;23,63726086;;15/5/22;23,1;23,66660564;;15/5/22;23,1;23,09973335
;16/5/22;22,8;23,03125572;;16/5/22;22,8;22,93493231;;16/5/22;22,8;22,800457
;17/5/22;24,5;23,79798781;;17/5/22;24,5;24,24610992;;17/5/22;24,5;24,50025749
;18/5/22;26,8;27,36067347;;18/5/22;26,8;27,66557184;;18/5/22;26,8;26,04796982
;19/5/22;26,8;26,83566366;;19/5/22;26,8;27,28844033;;19/5/22;26,8;26,80033112
;20/5/22;30,4;29,61914548;;20/5/22;30,4;29,43267869;;20/5/22;30,4;30,40021515
;21/5/22;26,9;28,31138497;;21/5/22;26,9;28,71620507;;21/5/22;26,9;26,47230721
;22/5/22;21,7;22,04570786;;22/5/22;21,7;21,90387039;;22/5/22;21,7;21,43133736
;23/5/22;23;22,88597391;;23/5/22;23;23,10199498;;23/5/22;23;22,2286911
;24/5/22;20,2;19,64035917;;24/5/22;20,2;20,05908365;;24/5/22;20,2;20,20021057
;25/5/22;22,4;22,84884622;;25/5/22;22,4;22,80454783;;25/5/22;22,4;22,39990425
;26/5/22;25,4;24,93723739;;26/5/22;25,4;25,14772751;;26/5/22;25,4;24,56171036
;27/5/22;27,8;27,47307199;;27/5/22;27,8;27,8761593;;27/5/22;27,8;27,79987717
;28/5/22;28,3;27,64941549;;28/5/22;28,3;27,52163989;;28/5/22;28,3;28,29952812
;29/5/22;22,5;22,24494464;;29/5/22;22,5;22,50198324;;29/5/22;22,5;22,49956703
;30/5/22;22,5;23,0652326;;30/5/22;22,5;22,92609242;;30/5/22;22,5;22,49974442
;31/5/22;25,8;25,37891433;;31/5/22;25,8;26,04966361;;31/5/22;25,8;25,61329079
;1/6/22;24,6;25,23713494;;1/6/22;24,6;24,92594116;;1/6/22;24,6;24,59996414
;2/6/22;23,3;24,02461976;;2/6/22;23,3;23,72278303;;2/6/22;23,3;23,29998398
;3/6/22;23,1;23,55796163;;3/6/22;23,1;23,5874326;;3/6/22;23,1;23,09983635
