serie,hour,day,month,value
1,02,16,08,28.3691
1,02,17,08,28.8332
1,02,18,08,28.8157
1,02,19,08,28.7289
1,02,20,08,28.7867
1,02,21,08,28.9011
1,02,22,08,29.1376
1,02,23,08,29.4584
1,02,24,08,29.4897
1,02,25,08,29.4365
1,02,26,08,29.2537
1,02,27,08,29.3351
1,02,28,08,29.0362
1,02,29,08,28.6333
1,02,30,08,28.4388
1,02,31,08,28.435
1,02,01,09,28.6722
1,02,02,09,28.8041
1,02,03,09,28.8204
1,02,04,09,28.5691
1,02,05,09,28.3618
1,02,06,09,28.2776
1,02,07,09,28.3397
1,02,08,09,27.9798
1,02,09,09,27.2857
1,02,10,09,26.675
1,02,11,09,26.8359
1,02,12,09,27.0854
1,02,13,09,26.8166
1,02,14,09,26.3413
1,02,15,09,25.636
1,02,16,09,25.6749
1,02,17,09,25.7047
1,02,18,09,25.7113
1,02,19,09,25.7829
1,02,20,09,26.0645
1,02,21,09,25.9183
1,02,22,09,25.6074
1,02,23,09,24.8672
1,02,24,09,25.0987
1,02,25,09,24.8224
1,02,26,09,24.8856
1,02,27,09,25.3711
1,02,28,09,25.4814
1,02,29,09,25.4898
1,02,30,09,25.4946
1,02,01,10,25.4604
1,02,02,10,25.1991
1,02,03,10,25.3032
1,02,04,10,25.3088
1,02,05,10,25.311
1,02,06,10,25.3842
1,02,07,10,25.0564
1,02,08,10,25.0155
1,02,09,10,24.5471
1,02,10,10,24.1522
1,02,11,10,23.9166
1,02,12,10,23.9404
1,02,13,10,23.4102
1,02,14,10,20.9679
1,02,15,10,21.0463
1,02,16,10,20.9633
1,02,17,10,23.1354
1,02,18,10,22.3485
1,02,19,10,22.118
1,02,20,10,22.2241
1,02,21,10,22.2144
1,02,22,10,22.0432
1,02,23,10,21.7756
1,02,24,10,21.5234
1,02,25,10,21.7048
1,01,26,10,0
1,01,27,10,0
1,01,28,10,0
1,01,29,10,18.2923
1,01,30,10,20.4321
1,01,31,10,20.8587
1,01,01,11,20.6516
1,01,02,11,20.7095
1,01,03,11,20.2364
1,01,04,11,20.0718
1,01,05,11,19.6335
1,01,06,11,19.3065
1,01,07,11,19.005
1,01,08,11,18.9734
1,01,09,11,20.2039
1,01,10,11,19.9793
1,01,11,11,20.1
1,01,12,11,19.9234
1,01,13,11,20.3264
1,01,14,11,20.6686
1,01,15,11,20.9712
1,01,16,11,21.0311
1,01,17,11,21.1312
1,01,18,11,20.6502
1,01,19,11,19.9252
1,01,20,11,19.7596
1,01,21,11,19.9301
1,01,22,11,20.0931
1,01,23,11,19.9393
1,01,24,11,19.5066
1,01,25,11,19.1572
1,01,26,11,18.9879
1,01,27,11,19.1827
1,01,28,11,19.859
1,01,29,11,20.1258
1,01,30,11,19.8367
1,01,01,12,19.2745
1,01,02,12,18.7791
1,01,03,12,18.4768
1,01,04,12,18.5922
1,01,05,12,19.0936
1,01,06,12,18.3952
1,01,07,12,17.9681
1,01,08,12,17.686
1,01,09,12,17.4864
1,01,10,12,17.4978
1,01,11,12,17.7435
1,01,12,12,18.102
1,01,13,12,18.4284
1,01,14,12,18.6807
1,01,15,12,18.4695
1,01,16,12,18.0242
1,01,17,12,17.7789
1,01,18,12,17.9107
1,01,19,12,18.576
1,01,20,12,18.8062
1,01,21,12,18.6732
1,01,22,12,18.0891
1,01,23,12,17.2876
1,01,24,12,16.3235
1,01,25,12,15.7516
1,01,26,12,15.2144
1,01,27,12,14.6606
1,01,28,12,14.5863
1,01,29,12,14.4577
1,01,30,12,14.3392
1,01,31,12,13.9415
1,01,01,01,13.3529
1,01,02,01,13.1441
1,01,03,01,13.3167
1,01,04,01,13.4096
1,01,05,01,13.2274
1,01,06,01,12.6955
1,01,07,01,12.7371
1,01,08,01,14.0745
1,01,09,01,16.1672
1,01,10,01,16.799
1,01,11,01,17.0184
1,01,12,01,16.7684
1,01,13,01,16.2959
1,01,14,01,16.3685
1,01,15,01,16.614
1,01,16,01,17.638
1,01,17,01,18.494
1,01,18,01,18.2748
1,01,19,01,17.9424
1,01,20,01,17.6388
1,01,21,01,17.3177
1,01,22,01,17.4065
1,01,23,01,17.9055
1,01,24,01,18.7659
1,01,25,01,18.6745
1,01,26,01,17.8307
1,01,27,01,16.8375
1,01,28,01,16.1075
1,01,29,01,16.4883
1,01,30,01,17.9068
1,01,31,01,18.602
1,01,01,02,18.7653
1,01,02,02,17.9358
1,01,03,02,17.4058
1,01,04,02,17.3173
1,01,05,02,17.4357
1,01,06,02,18.3953
1,01,07,02,18.9217
1,01,08,02,18.7829
1,01,09,02,18.3051
1,01,10,02,18.1698
1,01,11,02,18.1208
1,01,12,02,18.8408
1,01,13,02,19.1553
1,01,14,02,19.7718
1,01,15,02,19.6859
1,01,16,02,19.4975
1,01,17,02,19.3163
1,01,18,02,19.3891
1,01,19,02,19.3753
1,01,20,02,19.8372
1,01,21,02,20.4041
1,01,22,02,20.4557
1,01,23,02,20.1473
1,01,24,02,19.779
1,01,25,02,19.6863
1,01,26,02,19.6648
1,01,27,02,20.1617
1,01,28,02,20.338
1,01,29,02,19.7407
1,01,01,03,19.8811
1,01,02,03,19.6853
1,01,03,03,19.1944
1,01,04,03,18.7442
1,01,05,03,18.8023
1,01,06,03,19.102
1,01,07,03,19.436
1,01,08,03,19.7847
1,01,09,03,20.2408
1,01,10,03,20.128
1,01,11,03,19.9608
1,01,12,03,20.1206
1,01,13,03,20.2723
1,01,14,03,20.3858
1,01,15,03,20.3828
1,01,16,03,19.8556
1,01,17,03,19.0972
1,01,18,03,19.245
1,01,19,03,19.1677
1,01,20,03,19.5378
1,01,21,03,19.8546
1,01,22,03,19.755
1,01,23,03,18.7986
1,01,24,03,18.524
1,01,25,03,18.1091
1,01,26,03,18.7093
1,01,27,03,20.4077
1,02,28,03,18.255
1,02,29,03,18.5221
1,02,30,03,20.6795
1,02,31,03,20.5063
1,02,01,04,19.4385
1,02,02,04,19.3877
1,02,03,04,19.4978
1,02,04,04,19.428
1,02,05,04,19.878
1,02,06,04,19.6756
1,02,07,04,19.0027
1,02,08,04,19.0159
1,02,09,04,19.1791
1,02,10,04,19.2748
1,02,11,04,19.7238
1,02,12,04,19.9524
1,02,13,04,20.3858
1,02,14,04,20.6201
1,02,15,04,20.3776
1,02,16,04,20.7447
1,02,17,04,21.23
1,02,18,04,22.0666
1,02,19,04,22.4387
1,02,20,04,22.4006
1,02,21,04,21.8204
1,02,22,04,21.5533
1,02,23,04,21.6816
1,02,24,04,20.6625
1,02,25,04,20.7818
1,02,26,04,21.086
1,02,27,04,20.9744
1,02,28,04,20.546
1,02,29,04,20.2996
1,02,30,04,19.8344
1,02,01,05,20.2532
1,02,02,05,20.7783
1,02,03,05,21.2255
