Month,Day,Temperature,Humidity,Wind Speed,Pressure,Precipitation
1,1,9.3,95.7,3.7,999.6,0.00
1,2,5.3,100.0,4.7,1005.5,0.00
1,3,5.0,100.0,6.0,1011.4,0.00
1,5,1.0,100.0,2.0,1013.0,0.00
1,9,8.8,92.0,3.8,1005.5,0.00
1,11,12.5,97.0,2.0,1003.1,0.00
1,12,14.0,77.0,15.0,1000.6,0.00
1,16,10.8,88.6,19.0,998.5,0.00
1,17,14.0,94.0,17.0,996.7,0.00
1,18,16.0,85.0,29.5,989.9,0.00
1,19,10.0,82.0,46.0,965.4,0.00
1,20,10.0,87.8,19.8,985.6,0.00
1,22,8.4,85.0,33.9,990.8,0.00
1,23,11.3,88.0,22.0,997.7,0.00
1,24,12.0,88.0,20.0,996.7,0.00
1,25,10.0,100.0,5.7,994.8,0.00
1,27,14.0,91.6,17.2,997.9,0.00
1,29,2.7,100.0,0.0,1007.5,0.00
1,31,4.7,100.0,0.6,1010.4,0.00
2,1,7.8,73.5,2.0,1005.5,0.00
2,5,9.5,100.0,8.0,1005.5,0.00
2,11,7.0,84.0,22.0,993.8,0.00
2,14,8.7,98.0,0.0,1002.6,0.00
2,15,3.0,100.0,0.8,999.1,0.00
2,16,9.0,93.0,0.0,997.7,0.00
2,17,11.5,91.0,7.5,992.3,0.00
2,18,10.0,94.0,2.0,989.9,0.00
2,19,9.8,98.3,5.8,986.1,0.00
2,20,9.0,93.0,9.0,994.8,0.00
2,21,13.2,92.8,16.4,990.9,0.00
2,22,11.0,76.0,43.0,983.0,0.00
2,27,8.5,79.5,12.5,988.4,0.00
3,3,11.0,88.0,15.0,988.9,0.00
3,4,11.0,90.0,22.7,971.3,0.00
3,5,14.0,91.0,14.5,969.8,0.00
3,6,14.4,89.7,21.2,976.6,0.00
3,7,17.0,85.7,31.5,979.9,0.00
3,8,14.0,88.0,20.0,986.0,0.00
3,9,14.0,82.0,19.0,985.0,0.00
3,10,11.5,85.3,20.8,985.5,0.00
3,11,12.5,77.0,30.5,988.4,0.00
3,12,10.7,95.0,4.2,984.5,0.00
3,16,10.0,94.0,7.0,989.9,0.00
3,17,14.8,90.4,19.0,978.1,0.00
3,19,11.0,95.6,12.0,979.7,0.00
3,22,13.4,80.8,13.0,985.8,0.00
3,23,11.0,88.0,19.0,980.1,0.00
3,24,9.0,100.0,13.0,984.0,0.00
3,25,13.0,94.0,30.0,991.8,0.00
3,26,15.4,89.4,23.8,985.4,0.00
3,27,14.0,94.0,22.0,983.0,0.00
3,28,13.8,91.0,12.0,989.1,0.00
3,29,16.0,94.0,28.0,991.2,0.00
3,31,13.0,94.0,7.0,986.0,0.00
4,1,15.3,73.8,19.8,986.7,0.00
4,2,10.0,94.0,6.0,989.9,0.00
4,3,12.1,88.9,12.8,979.5,0.00
4,4,13.0,82.5,10.0,980.1,0.00
4,8,14.8,66.8,11.5,992.6,0.00
4,10,17.0,82.0,20.0,996.7,0.00
4,11,16.0,88.0,22.0,993.8,0.00
4,12,11.0,94.0,2.0,997.7,0.00
4,13,8.3,100.0,0.7,998.3,0.00
4,27,16.0,55.0,20.0,987.9,0.00
4,28,16.0,29.0,33.0,987.9,0.00
4,29,10.8,72.6,17.1,986.1,0.00
4,30,8.5,93.0,0.0,989.4,0.00
5,14,26.0,36.0,24.0,987.9,0.00
5,15,14.9,81.5,16.6,982.5,0.00
5,17,12.2,83.4,27.2,979.7,0.00
5,18,17.0,48.0,41.0,992.8,0.00
5,20,17.0,48.0,9.0,995.7,0.00
5,21,17.2,52.2,5.5,994.6,0.00
5,22,21.3,48.0,5.4,996.0,0.00
5,23,21.8,53.1,9.6,994.1,0.00
5,24,22.6,50.9,9.6,992.7,0.00
5,25,22.8,47.8,12.4,993.7,0.00
5,26,18.8,55.1,18.2,992.4,0.00
5,27,16.9,56.3,17.8,990.5,0.00
5,28,18.4,51.4,18.5,991.2,0.00
5,29,16.6,51.7,23.8,996.2,0.00
5,30,18.6,44.5,10.1,996.5,0.00
5,31,22.3,35.5,12.2,996.4,0.00
6,1,21.8,36.8,5.3,997.5,0.00
6,2,23.6,36.7,8.3,995.0,0.00
6,3,25.3,33.6,6.2,992.3,0.00
6,4,25.4,37.2,5.3,989.4,0.00
6,5,25.5,30.4,10.8,989.0,0.00
6,6,17.9,64.7,17.9,994.5,0.00
6,7,16.1,71.2,16.4,994.9,0.00
6,8,16.1,71.0,17.7,995.3,0.00
6,9,16.7,74.1,18.7,995.4,0.00
6,10,17.7,70.1,11.8,997.8,0.00
6,11,22.1,56.9,8.9,999.0,0.00
6,12,25.3,55.3,9.4,998.1,0.00
6,13,26.1,46.1,12.8,995.2,0.00
6,14,25.0,44.2,12.3,993.8,0.00
6,15,24.4,38.3,9.6,993.5,0.00
6,16,24.4,44.5,12.7,990.6,0.00
6,17,20.4,49.8,26.1,991.3,0.00
6,18,17.5,71.8,14.4,991.1,0.00
6,19,21.4,50.1,16.5,994.1,0.00
6,20,21.9,51.8,12.1,995.5,0.00
6,21,23.4,52.8,14.4,995.9,0.00
6,22,26.6,42.8,6.3,997.6,0.00
6,23,29.5,38.7,7.8,995.3,0.00
6,24,29.6,33.5,9.8,995.1,0.00
6,25,30.4,29.4,5.3,995.1,0.00
6,26,29.4,37.7,4.6,995.0,0.00
6,27,28.6,36.3,4.3,995.4,0.00
6,28,29.7,29.4,8.8,996.2,0.00
6,29,28.9,35.1,9.0,997.2,0.00
6,30,29.9,33.2,5.1,993.8,0.00
7,1,30.4,30.7,10.5,990.7,0.00
7,2,24.9,48.8,12.8,993.3,0.00
7,3,28.4,42.3,5.1,994.9,0.00
7,4,32.5,37.9,6.7,994.0,0.00
7,5,32.8,37.2,5.4,994.5,0.00
7,6,32.9,32.1,8.3,995.6,0.00
7,7,33.1,31.2,5.0,995.0,0.00
7,8,32.6,31.1,5.3,994.2,0.00
