Algorithm;Date;Temperature;Temperature Prediction;Algorithm;Date;Temperature;Temperature Prediction;Algorithm;Date;Temperature;Temperature Prediction
Xgboost;11/11/21;13,3;15,13896275;Linear Regression Multiple;13/11/21;13,8;16,11773773;Linear Regression Multiple Stats Model;13/11/21;13,8;16,4055106
;12/11/21;11,7;15,44659328;;14/11/21;13,5;16,78828204;;14/11/21;13,5;17,0140144
;13/11/21;13,8;15,89562511;;15/11/21;12,6;17,81701606;;15/11/21;12,6;18,0541092
;14/11/21;13,5;15,0511961;;16/11/21;12;16,9588774;;16/11/21;12;16,91528
;15/11/21;12,6;15,40007019;;17/11/21;11,4;16,22116459;;17/11/21;11,4;15,9602158
;16/11/21;12;14,3008604;;18/11/21;13,1;16,10249023;;18/11/21;13,1;15,3689569
;17/11/21;11,4;14,76187611;;19/11/21;14,4;16,77666008;;19/11/21;14,4;16,4869464
;18/11/21;13,1;14,60790825;;20/11/21;13,9;16,24901008;;20/11/21;13,9;15,7875203
;19/11/21;14,4;15,25409603;;21/11/21;14,4;17,29473141;;21/11/21;14,4;16,5110714
;20/11/21;13,9;14,00592136;;22/11/21;11,6;17,03728322;;22/11/21;11,6;15,2198749
;21/11/21;14,4;12,93084621;;23/11/21;6,7;17,71204688;;23/11/21;6,7;16,7554227
;22/11/21;11,6;13,50926971;;24/11/21;9,7;17,04135661;;24/11/21;9,7;16,7167612
;23/11/21;6,7;11,02261543;;25/11/21;9,5;15,73843825;;25/11/21;9,5;15,2511965
;24/11/21;9,7;12,84680939;;26/11/21;9,5;17,22339008;;26/11/21;9,5;16,5129613
;25/11/21;9,5;14,03803158;;27/11/21;10,4;17,53311625;;27/11/21;10,4;16,2316914
;26/11/21;9,5;12,44077301;;28/11/21;9;15,78713983;;28/11/21;9;14,4443676
;27/11/21;10,4;12,06901169;;29/11/21;12,3;15,37597154;;29/11/21;12,3;15,109715
;28/11/21;9;12,72692585;;30/11/21;7,8;15,52541733;;30/11/21;7,8;15,9702648
;29/11/21;12,3;13,21215057;;1/12/21;9,6;15,91792447;;1/12/21;9,6;16,1019054
;30/11/21;7,8;12,92022514;;2/12/21;11,6;16,55786245;;2/12/21;11,6;16,5886803
;1/12/21;9,6;13,42254925;;3/12/21;9,8;16,13631121;;3/12/21;9,8;16,1773935
;2/12/21;11,6;11,5948658;;4/12/21;12,2;15,74365049;;4/12/21;12,2;16,018948
;3/12/21;9,8;11,84303951;;5/12/21;11,1;15,2692496;;5/12/21;11,1;16,2965255
;4/12/21;12,2;13,17817116;;6/12/21;11,2;14,0845099;;6/12/21;11,2;15,5138966
;5/12/21;11,1;12,08163261;;7/12/21;13,7;13,42534035;;7/12/21;13,7;15,1692073
;6/12/21;11,2;13,43000889;;8/12/21;11,5;12,54141357;;8/12/21;11,5;14,7851352
;7/12/21;13,7;11,60879803;;9/12/21;12,4;12,20885484;;9/12/21;12,4;14,8174539
;8/12/21;11,5;11,706954;;10/12/21;14,2;12,74903369;;10/12/21;14,2;14,9540508
;9/12/21;12,4;10,88198662;;11/12/21;13,7;13,76624869;;11/12/21;13,7;14,9645077
;10/12/21;14,2;12,49730682;;12/12/21;12,1;13,64584536;;12/12/21;12,1;14,6161976
;11/12/21;13,7;12,95238781;;13/12/21;13,1;15,38927404;;13/12/21;13,1;13,9604126
;12/12/21;12,1;12,37097549;;14/12/21;12;13,59776795;;14/12/21;12;14,3941653
;13/12/21;13,1;12,90917873;;15/12/21;10,5;14,84141196;;15/12/21;10,5;15,7629381
;14/12/21;12;13,86307716;;16/12/21;10,1;15,50412585;;16/12/21;10,1;16,146393
;15/12/21;10,5;13,07440662;;17/12/21;10,5;14,57170078;;17/12/21;10,5;16,1789921
;16/12/21;10,1;12,31110668;;18/12/21;10,5;13,88076359;;18/12/21;10,5;15,6697681
;17/12/21;10,5;12,16085148;;19/12/21;12,4;14,11086485;;19/12/21;12,4;15,2462156
;18/12/21;10,5;12,15812683;;20/12/21;12,2;12,25045823;;20/12/21;12,2;13,6770502
;19/12/21;12,4;12,69679928;;21/12/21;13,1;10,9352044;;21/12/21;13,1;13,3188131
;20/12/21;12,2;11,93835926;;22/12/21;14,3;10,94337414;;22/12/21;14,3;13,4608096
;21/12/21;13,1;9,9435215;;23/12/21;14,5;10,8074791;;23/12/21;14,5;12,8043924
;22/12/21;14,3;9,865840912;;24/12/21;13,9;12,38087528;;24/12/21;13,9;14,2297653
;23/12/21;14,5;8,530585289;;25/12/21;15;12,83630161;;25/12/21;15;14,1397486
;24/12/21;13,9;11,77370071;;26/12/21;15,6;12,33586055;;26/12/21;15,6;14,147267
;25/12/21;15;11,33042812;;27/12/21;16,9;13,00929123;;27/12/21;16,9;14,5117749
;26/12/21;15,6;12,15311718;;28/12/21;16;13,35890832;;28/12/21;16;15,3154884
;27/12/21;16,9;13,26539707;;29/12/21;12,6;12,97232008;;29/12/21;12,6;15,3774971
;28/12/21;16;13,22056389;;30/12/21;11,2;13,46402419;;30/12/21;11,2;15,7501831
;29/12/21;12,6;13,02854919;;31/12/21;13,2;12,79549532;;31/12/21;13,2;14,8652925
;30/12/21;11,2;11,6991291;;1/1/22;12,5;8,368822005;;1/1/22;12,5;9,57562493
;31/12/21;13,2;9,861878395;;2/1/22;11,6;8,272503437;;2/1/22;11,6;9,59311867
;1/1/22;12,5;8,797520638;;3/1/22;11,6;7,636975178;;3/1/22;11,6;9,1809015
;2/1/22;11,6;10,23297977;;4/1/22;9,5;8,507393135;;4/1/22;9,5;9,61541619
;3/1/22;11,6;8,542720795;;5/1/22;11,2;8,063714322;;5/1/22;11,2;8,83714452
;4/1/22;9,5;12,01403713;;6/1/22;9,5;9,941952325;;6/1/22;9,5;9,89069376
;5/1/22;11,2;11,55610561;;7/1/22;9,2;9,779458464;;7/1/22;9,2;10,0353805
;6/1/22;9,5;11,52693558;;8/1/22;7,2;9,699582122;;8/1/22;7,2;9,94459868
;7/1/22;9,2;11,69127464;;9/1/22;9,5;9,433820418;;9/1/22;9,5;9,6220745
;8/1/22;7,2;9,092731476;;10/1/22;14,7;11,20150072;;10/1/22;14,7;11,5760105
;9/1/22;9,5;8,808506966;;11/1/22;11,2;10,62423367;;11/1/22;11,2;11,5706285
;10/1/22;14,7;10,9432869;;12/1/22;9,7;10,2191376;;12/1/22;9,7;11,5465331
;11/1/22;11,2;9,564934731;;13/1/22;9,6;10,50770553;;13/1/22;9,6;12,0769143
;12/1/22;9,7;9,366918564;;14/1/22;8,6;9,969481203;;14/1/22;8,6;10,8884087
;13/1/22;9,6;11,20110416;;15/1/22;10,1;10,47111424;;15/1/22;10,1;11,4223477
;14/1/22;8,6;9,660802841;;16/1/22;8,9;10,13488065;;16/1/22;8,9;11,2307526
;15/1/22;10,1;12,00222206;;17/1/22;7,3;10,11810248;;17/1/22;7,3;10,426591
;16/1/22;8,9;10,50061131;;18/1/22;8,2;12,31549278;;18/1/22;8,2;12,2815777
;17/1/22;7,3;10,01398373;;19/1/22;7,6;13,70203207;;19/1/22;7,6;13,237715
;18/1/22;8,2;11,3446455;;20/1/22;7,9;12,31046738;;20/1/22;7,9;11,9800846
;19/1/22;7,6;9,141290665;;21/1/22;8,1;10,85653502;;21/1/22;8,1;11,3191868
;20/1/22;7,9;10,73759842;;22/1/22;8,8;10,44898608;;22/1/22;8,8;11,4350098
;21/1/22;8,1;8,994425774;;23/1/22;9,1;10,18865925;;23/1/22;9,1;11,4387556
;22/1/22;8,8;10,21286774;;24/1/22;9,4;10,42818116;;24/1/22;9,4;11,3682608
;23/1/22;9,1;10,41237831;;25/1/22;9,6;10,49425759;;25/1/22;9,6;11,1644785
;24/1/22;9,4;11,90602493;;26/1/22;10,6;9,901867589;;26/1/22;10,6;11,1500373
;25/1/22;9,6;11,56692028;;27/1/22;12,4;10,59662703;;27/1/22;12,4;12,2612167
;26/1/22;10,6;12,49063587;;28/1/22;11,7;10,05693107;;28/1/22;11,7;11,950363
