Algorithm;Date;Temperature;Temperature Prediction
Xgboost;2021-11-11;13,3;15,13896275
;2021-11-12;11,7;15,44659328
;2021-11-13;13,8;15,89562511
;2021-11-14;13,5;15,0511961
;2021-11-15;12,6;15,40007019
;2021-11-16;12;14,3008604
;2021-11-17;11,4;14,76187611
;2021-11-18;13,1;14,60790825
;2021-11-19;14,4;15,25409603
;2021-11-20;13,9;14,00592136
;2021-11-21;14,4;12,93084621
;2021-11-22;11,6;13,50926971
;2021-11-23;6,7;11,02261543
;2021-11-24;9,7;12,84680939
;2021-11-25;9,5;14,03803158
;2021-11-26;9,5;12,44077301
;2021-11-27;10,4;12,06901169
;2021-11-28;9;12,72692585
;2021-11-29;12,3;13,21215057
;2021-11-30;7,8;12,92022514
;2021-12-01;9,6;13,42254925
;2021-12-02;11,6;11,5948658
;2021-12-03;9,8;11,84303951
;2021-12-04;12,2;13,17817116
;2021-12-05;11,1;12,08163261
;2021-12-06;11,2;13,43000889
;2021-12-07;13,7;11,60879803
;2021-12-08;11,5;11,706954
;2021-12-09;12,4;10,88198662
;2021-12-10;14,2;12,49730682
;2021-12-11;13,7;12,95238781
;2021-12-12;12,1;12,37097549
;2021-12-13;13,1;12,90917873
;2021-12-14;12;13,86307716
;2021-12-15;10,5;13,07440662
;2021-12-16;10,1;12,31110668
;2021-12-17;10,5;12,16085148
;2021-12-18;10,5;12,15812683
;2021-12-19;12,4;12,69679928
;2021-12-20;12,2;11,93835926
;2021-12-21;13,1;9,9435215
;2021-12-22;14,3;9,865840912
;2021-12-23;14,5;8,530585289
;2021-12-24;13,9;11,77370071
;2021-12-25;15;11,33042812
;2021-12-26;15,6;12,15311718
;2021-12-27;16,9;13,26539707
;2021-12-28;16;13,22056389
;2021-12-29;12,6;13,02854919
;2021-12-30;11,2;11,6991291
;2021-12-31;13,2;9,861878395
;2022-01-01;12,5;8,797520638
;2022-01-02;11,6;10,23297977
;2022-01-03;11,6;8,542720795
;2022-01-04;9,5;12,01403713
;2022-01-05;11,2;11,55610561
;2022-01-06;9,5;11,52693558
;2022-01-07;9,2;11,69127464
;2022-01-08;7,2;9,092731476
;2022-01-09;9,5;8,808506966
;2022-01-10;14,7;10,9432869
;2022-01-11;11,2;9,564934731
;2022-01-12;9,7;9,366918564
;2022-01-13;9,6;11,20110416
;2022-01-14;8,6;9,660802841
;2022-01-15;10,1;12,00222206
;2022-01-16;8,9;10,50061131
;2022-01-17;7,3;10,01398373
;2022-01-18;8,2;11,3446455
;2022-01-19;7,6;9,141290665
;2022-01-20;7,9;10,73759842
;2022-01-21;8,1;8,994425774
;2022-01-22;8,8;10,21286774
;2022-01-23;9,1;10,41237831
;2022-01-24;9,4;11,90602493
;2022-01-25;9,6;11,56692028
;2022-01-26;10,6;12,49063587
;2022-01-27;12,4;11,68553638
;2022-01-28;11,7;11,76629543
;2022-01-29;14;11,63904858
;2022-01-30;11,2;12,18676376
;2022-01-31;11,3;9,598436356
;2022-02-01;10,6;12,16318703
;2022-02-02;11,9;11,53948212
;2022-02-03;10,6;11,37079239
;2022-02-04;12;12,27686024
;2022-02-05;11;12,37657547
;2022-02-06;11,1;11,25240135
;2022-02-07;12,1;11,59526539
;2022-02-08;13,1;9,881874084
;2022-02-09;13,1;10,47232723
;2022-02-10;12,5;10,80536461
;2022-02-11;14;11,77289867
;2022-02-12;12,4;12,69733238
;2022-02-13;11,8;12,12897778
;2022-02-14;10,9;12,62923622
;2022-02-15;10,1;11,9844389
;2022-02-16;12,3;11,57104206
;2022-02-17;11,7;12,01603413
;2022-02-18;12,2;11,99946117
;2022-02-19;13,7;12,92861938
;2022-02-20;13;11,81497669
;2022-02-21;13,2;13,4554491
;2022-02-22;15,1;12,08052826
;2022-02-23;14,2;12,78025341
;2022-02-24;;12,42836285
;2022-02-25;;11,05726719
;2022-02-26;;12,71523666
;2022-02-27;;12,75074005
;2022-02-28;;13,50571346
;2022-03-01;;14,19080734
;2022-03-02;;14,08554363
;2022-03-03;;14,22394276
;2022-03-04;;13,91311932
;2022-03-05;;13,15691376
;2022-03-06;;14,10672092
;2022-03-07;;13,37125492
;2022-03-08;;14,06859398
;2022-03-09;;13,53109741
;2022-03-10;;15,00699139
;2022-03-11;;15,33087158
;2022-03-12;;13,15599346
;2022-03-13;;13,99803257
;2022-03-14;;14,39589024
;2022-03-15;;15,99117947
;2022-03-16;;15,11167908
;2022-03-17;;14,04296875
;2022-03-18;;15,84296894
;2022-03-19;;14,58534813
;2022-03-20;;14,30432034
;2022-03-21;;14,91327858
;2022-03-22;;16,22417831
;2022-03-23;;15,39213562
;2022-03-24;;14,41150093
;2022-03-25;;15,81355667
;2022-03-26;;15,64042664
;2022-03-27;;15,59472656
;2022-03-28;;14,1836834
;2022-03-29;;15,17884636
;2022-03-30;;15,61450386
;2022-03-31;;14,0828495
;2022-04-01;;17,01293564
;2022-04-02;;16,13157272
;2022-04-03;;14,20558548
;2022-04-04;;15,49086857
;2022-04-05;;16,42617798
;2022-04-06;;16,14414215
;2022-04-07;;16,01329422
;2022-04-08;;16,46767235
;2022-04-09;;14,97439289
;2022-04-10;;15,30978966
;2022-04-11;;17,0183773
;2022-04-12;;16,99570847
;2022-04-13;;17,75012589
;2022-04-14;;16,53102875
;2022-04-15;;16,22271919
;2022-04-16;;16,27558899
;2022-04-17;;18,58101463
;2022-04-18;;17,33174133
;2022-04-19;;18,20537949
;2022-04-20;;17,70182991
;2022-04-21;;17,71735191
;2022-04-22;;17,9581356
;2022-04-23;;18,21720505
;2022-04-24;;18,99572945
;2022-04-25;;19,47028351
;2022-04-26;;16,53871536
;2022-04-27;;19,26608467
;2022-04-28;;18,73161125
;2022-04-29;;18,63096428
;2022-04-30;;16,47719383
;2022-05-01;;17,18405342
;2022-05-02;;21,23167419
;2022-05-03;;18,91882324
;2022-05-04;;22,58836746
;2022-05-05;;20,03552246
;2022-05-06;;20,88746834
;2022-05-07;;22,48721504
;2022-05-08;;20,38933945
;2022-05-09;;18,09413338
;2022-05-10;;18,06378555
;2022-05-11;;22,71886444
;2022-05-12;;20,3926487
;2022-05-13;;22,18929482
;2022-05-14;;22,10924339
;2022-05-15;;21,65802765
;2022-05-16;;22,86449242
;2022-05-17;;23,09412956
;2022-05-18;;22,03701591
;2022-05-19;;22,94800758
;2022-05-20;;22,54876137
;2022-05-21;;22,41148376
;2022-05-22;;23,63998795
;2022-05-23;;23,45682907
;2022-05-24;;23,45583916
;2022-05-25;;24,79497337
;2022-05-26;;22,25863075
;2022-05-27;;24,61650276
;2022-05-28;;23,18632507
;2022-05-29;;22,91262817
