serie,hour,day,month,season,value
1,00,06,07,2,29.4618
1,00,07,07,2,28.6031
1,00,08,07,2,30.0703
1,00,09,07,2,29.564
1,00,10,07,2,27.8463
1,00,11,07,2,28.7136
1,00,12,07,2,23.864
1,00,13,07,2,26.2797
1,00,14,07,2,24.7986
1,00,15,07,2,23.903
1,00,16,07,2,23.4036
1,00,17,07,2,24.5953
1,00,18,07,2,24.1252
1,00,19,07,2,25.2095
1,00,20,07,2,25.1364
1,00,21,07,2,23.7927
1,00,22,07,2,21.7541
1,00,23,07,2,23.5461
1,00,24,07,2,23.0876
1,00,25,07,2,20.6755
1,00,26,07,2,22.9276
1,00,27,07,2,23.1289
1,00,28,07,2,22.5417
1,00,29,07,2,20.6013
1,00,30,07,2,19.6788
1,00,31,07,2,19.4301
1,00,01,08,2,18.8744
1,00,02,08,2,17.4498
1,00,03,08,2,19.0695
1,00,04,08,2,21.5173
1,00,05,08,2,18.2212
1,00,06,08,2,18.9969
1,00,07,08,2,18.9793
1,00,08,08,2,20.8691
1,00,09,08,2,21.688
1,00,10,08,2,16.7507
1,00,11,08,2,17.5353
1,00,12,08,2,18.7023
1,00,13,08,2,19.3356
1,00,14,08,2,19.1976
1,00,15,08,2,19.7842
1,00,16,08,2,21.6938
1,00,17,08,2,25.7188
1,00,18,08,2,25.5405
1,00,19,08,2,25.7862
1,00,20,08,2,28.7639
1,00,21,08,2,19.1811
1,00,22,08,2,21.1884
1,00,23,08,2,23.9479
1,00,24,08,2,23.3348
1,00,25,08,2,22.2884
1,00,26,08,2,24.7478
1,00,27,08,2,23.8821
1,00,28,08,2,21.699
1,00,29,08,2,17.6376
1,00,30,08,2,18.3397
1,00,31,08,2,21.4112
1,00,01,09,3,20.4935
1,00,02,09,3,19.1815
1,00,03,09,3,19.6077
1,00,04,09,3,19.225
1,00,05,09,3,18.7256
1,00,06,09,3,16.4887
1,00,07,09,3,16.9208
1,00,08,09,3,19.8123
1,00,09,09,3,21.2562
1,00,10,09,3,20.1891
1,00,11,09,3,22.4714
1,00,12,09,3,24.3308
1,00,13,09,3,33.6171
1,00,14,09,3,23.5559
1,00,15,09,3,31.7583
1,00,16,09,3,31.6261
1,00,17,09,3,28.355
1,00,18,09,3,24.9359
1,00,19,09,3,23.65
1,00,20,09,3,20.9123
1,00,21,09,3,24.3175
1,00,22,09,3,26.5954
1,00,23,09,3,29.1195
1,00,24,09,3,23.6475
1,00,25,09,3,33.0044
1,00,26,09,3,27.1488
1,00,27,09,3,22.6
1,00,28,09,3,27.2528
1,00,29,09,3,26.6727
1,00,30,09,3,26.7162
1,00,01,10,3,26.7699
1,00,02,10,3,20.2261
1,00,03,10,3,21.8764
1,00,04,10,3,23.4062
1,00,05,10,3,21.814
1,00,06,10,3,18.5726
1,00,07,10,3,19.5652
1,00,08,10,3,16.3563
1,00,09,10,3,27.9658
1,00,10,10,3,30.7319
1,00,11,10,3,34.4114
1,00,12,10,3,43.2953
1,00,13,10,3,43.7052
1,00,14,10,3,42.2717
1,00,15,10,3,36.1821
1,00,16,10,3,38.1797
1,00,17,10,3,47.9469
1,00,18,10,3,51.1819
1,00,19,10,3,52.513
1,00,20,10,3,49.3807
1,00,21,10,3,49.0521
1,00,22,10,3,52.2473
1,00,23,10,3,51.366
1,00,24,10,3,50.8463
1,00,25,10,3,54.4277
1,00,26,10,3,55.1
1,00,27,10,3,56.7187
1,00,28,10,3,55.0237
1,00,29,10,3,52.4007
1,00,30,10,3,43.2803
1,00,31,10,3,34.8139
1,00,01,11,3,36.6177
1,00,02,11,3,45.6025
1,00,03,11,3,48.1283
1,00,04,11,3,50.4633
1,00,05,11,3,57.8711
1,00,06,11,3,40.283
1,00,07,11,3,30.0511
1,00,08,11,3,32.0944
1,00,09,11,3,40.1457
1,00,10,11,3,35.1066
1,00,11,11,3,34.8348
1,00,12,11,3,38.1084
1,00,13,11,3,48.3007
1,00,14,11,3,39.0276
1,00,15,11,3,29.0358
1,00,16,11,3,27.912
1,00,17,11,3,30.527
1,00,18,11,3,34.5489
1,00,19,11,3,32.2418
1,00,20,11,3,48.5708
1,00,21,11,3,49.8
1,00,22,11,3,37.749
1,00,23,11,3,33.2923
1,00,24,11,3,31.275
1,00,25,11,3,38.9417
1,00,26,11,3,44.7525
1,00,27,11,3,47.102
1,00,28,11,3,46.257
1,00,29,11,3,42.8776
1,00,30,11,3,37.2328
1,00,01,12,4,43.1111
1,00,02,12,4,45.2163
1,00,03,12,4,45.3569
1,00,04,12,4,51.0993
1,00,05,12,4,49.2092
1,00,06,12,4,48.0714
1,00,07,12,4,46.856
1,00,08,12,4,40.7125
1,00,09,12,4,41.1333
1,00,10,12,4,45.1509
1,00,11,12,4,44.9691
1,00,12,12,4,44.8662
1,00,13,12,4,44.6714
1,00,14,12,4,46.3362
1,00,15,12,4,38.7993
1,00,16,12,4,38.9725
1,00,17,12,4,39.7391
1,00,18,12,4,34.6624
1,00,19,12,4,33.6254
1,00,20,12,4,29.7559
1,00,21,12,4,32.2625
1,00,22,12,4,34.832
1,00,23,12,4,37.7452
1,00,24,12,4,41.2318
1,00,25,12,4,41.4038
1,00,26,12,4,40.888
1,00,27,12,4,41.7189
1,00,28,12,4,42.3269
1,00,29,12,4,42.449
1,00,30,12,4,42.1713
1,00,31,12,4,41.3449
1,00,01,01,4,41.1327
1,00,02,01,4,49.8434
1,00,03,01,4,57.6048
1,00,04,01,4,65.0713
1,00,05,01,4,65.8295
1,00,06,01,4,54.519
1,00,07,01,4,46.4845
1,00,08,01,4,44.4662
1,00,09,01,4,43.5607
1,00,10,01,4,43.642
1,00,11,01,4,46
1,00,12,01,4,46.0044
1,00,13,01,4,34.4983
1,00,14,01,4,27.7344
1,00,15,01,4,28.4871
1,00,16,01,4,31.0156
1,00,17,01,4,31.4331
1,00,18,01,4,17.2007
1,00,19,01,4,17.1603
1,00,20,01,4,22.2344
1,00,21,01,4,27.6217
1,00,22,01,4,31.2164
1,00,23,01,4,28.4551
1,00,24,01,4,24.7134
1,00,25,01,4,22.2139
1,00,26,01,4,31.5839
1,00,27,01,4,38.7579
1,00,28,01,4,43.2293
1,00,29,01,4,52.7648
1,00,30,01,4,54.7561
1,00,31,01,4,44.3149
1,00,01,02,4,46.535
1,00,02,02,4,45.9183
1,00,03,02,4,47.66
1,00,04,02,4,55.5689
1,00,05,02,4,43.9227
1,00,06,02,4,43.4342
1,00,07,02,4,43.751
1,00,08,02,4,28.3742
1,00,09,02,4,26.0595
1,00,10,02,4,30.9103
1,00,11,02,4,32.5481
1,00,12,02,4,35.2377
1,00,13,02,4,31.5062
1,00,14,02,4,48.4227
1,00,15,02,4,40.7331
1,00,16,02,4,37.15
1,00,17,02,4,34.2427
1,00,18,02,4,36.5545
1,00,19,02,4,39.0417
1,00,20,02,4,34.254
1,00,21,02,4,26.3529
1,00,22,02,4,27.7974
1,00,23,02,4,33.3783
1,00,24,02,4,35.217
1,00,25,02,4,34.55
1,00,26,02,4,40.7628
1,00,27,02,4,38.2938
1,00,28,02,4,39.3769
1,00,01,03,1,36.8885
1,00,02,03,1,35.7308
1,00,03,03,1,36.1612
1,00,04,03,1,32.9177
1,00,05,03,1,49.154
1,00,06,03,1,54.1469
1,00,07,03,1,43.5875
1,00,08,03,1,39.148
1,00,09,03,1,36.8402
1,00,10,03,1,34.6827
1,00,11,03,1,36.1676
1,00,12,03,1,28.5397
1,00,13,03,1,23.7531
1,00,14,03,1,33.4504
1,00,15,03,1,28.929
1,00,16,03,1,24.9901
1,00,17,03,1,23.502
1,00,18,03,1,23.3336
1,00,19,03,1,28.4447
1,00,20,03,1,35.2596
1,00,21,03,1,31.8371
1,00,22,03,1,31.3275
1,00,23,03,1,29.3725
1,00,24,03,1,27.8092
1,00,25,03,1,35.5148
1,00,26,03,1,43.1834
1,00,27,03,1,47.3584
1,00,28,03,1,44.4599
1,00,29,03,1,38.0196
1,00,30,03,1,36.4137
1,00,31,03,1,37.5908
1,00,01,04,1,33.0014
1,00,02,04,1,31.9673
1,00,03,04,1,32.3389
1,00,04,04,1,33.5617
1,00,05,04,1,28.2617
1,00,06,04,1,28.151
1,00,07,04,1,29.78
1,00,08,04,1,29.6232
1,00,09,04,1,29.408
1,00,10,04,1,28.9322
1,00,11,04,1,28.0566
1,00,12,04,1,26.8033
1,00,13,04,1,29.184
1,00,14,04,1,32.9139
1,00,15,04,1,32.2159
1,00,16,04,1,31.1954
1,00,17,04,1,28.2839
1,00,18,04,1,28.0435
1,00,19,04,1,28.7424
1,00,20,04,1,27.9542
1,00,21,04,1,23.4372
1,00,22,04,1,23.0539
1,00,23,04,1,25.1537
1,00,24,04,1,33.7633
1,00,25,04,1,37.8412
1,00,26,04,1,29.9692
1,00,27,04,1,23.0719
1,00,28,04,1,22.6944
1,00,29,04,1,36.745
1,00,30,04,1,32.9861
1,00,01,05,1,24.5572
1,00,02,05,1,28.5112
1,00,03,05,1,30.6944
1,00,04,05,1,32.4055
1,00,05,05,1,40.3704
1,00,06,05,1,36.0171
1,00,07,05,1,33.5384
1,00,08,05,1,33.2903
1,00,09,05,1,31.6682
1,00,10,05,1,40.1177
1,00,11,05,1,44.2676
1,00,12,05,1,46.0954
1,00,13,05,1,42.298
1,00,14,05,1,41.8713
1,00,15,05,1,42.1208
1,00,16,05,1,40.7228
1,00,17,05,1,40.4929
1,00,18,05,1,26.7831
1,00,19,05,1,21.482
1,00,20,05,1,23.5093
1,00,21,05,1,25.8607
1,00,22,05,1,39.6049
1,00,23,05,1,31.4354
1,00,24,05,1,26.4851
1,00,25,05,1,27.8442
1,00,26,05,1,35.1669
1,00,27,05,1,36.945
1,00,28,05,1,33.0946
1,00,29,05,1,32.646
1,00,30,05,1,31.3868
1,00,31,05,1,30.6082
1,00,01,06,2,30.7727
1,00,02,06,2,27.1818
1,00,03,06,2,26.2556
1,00,04,06,2,23.4046
1,00,05,06,2,22.0415
1,00,06,06,2,27.5873
1,00,07,06,2,21.0711
1,00,08,06,2,23.4607
1,00,09,06,2,23.5459
1,00,10,06,2,25.4173
1,00,11,06,2,26.7727
1,00,12,06,2,26.0777
1,00,13,06,2,22.2228
1,00,14,06,2,26.1604
1,00,15,06,2,27.7135
1,00,16,06,2,25.1589
1,00,17,06,2,23.4861
1,00,18,06,2,22.8291
1,00,19,06,2,23.139
1,00,20,06,2,24.7912
1,00,21,06,2,26.7395
1,00,22,06,2,26.7138
1,00,23,06,2,16.3951
1,00,24,06,2,17.1691
1,00,25,06,2,21.7644
1,00,26,06,2,25.448
1,00,27,06,2,26.9662
1,00,28,06,2,29.9446
1,00,29,06,2,22.2622
1,00,30,06,2,23.0141
1,00,01,07,2,17.9867
1,00,02,07,2,17.2197
1,00,03,07,2,18.014
1,00,04,07,2,17.1068
1,00,05,07,2,29.3912
1,00,06,07,2,27.5258
1,00,07,07,2,29.6781
1,00,08,07,2,35.3563
1,00,09,07,2,34.9669
1,00,10,07,2,28.2611
1,00,11,07,2,24.9615
1,00,12,07,2,20.1854
1,00,13,07,2,17.7201
1,00,14,07,2,15.3007
1,00,15,07,2,12.1215
1,00,16,07,2,12.4262
1,00,17,07,2,12.0322
1,00,18,07,2,14.4733
1,00,19,07,2,24.7285
1,00,20,07,2,22.7093
1,00,21,07,2,20.0253
1,00,22,07,2,18.7318
1,00,23,07,2,20.0438
1,00,24,07,2,20.9215
1,00,25,07,2,16.1854
1,00,26,07,2,15.925
1,00,27,07,2,16.0081
1,00,28,07,2,15.8386
1,00,29,07,2,18.984
1,00,30,07,2,17.319
1,00,31,07,2,15.9557
1,00,01,08,2,15.6901
1,00,02,08,2,15.4391
1,00,03,08,2,17.1784
1,00,04,08,2,22.8257
1,00,05,08,2,18.8675
1,00,06,08,2,17.5444
1,00,07,08,2,12.0364
1,00,08,08,2,13.54
1,00,09,08,2,13.706
1,00,10,08,2,9.49799
1,00,11,08,2,10.5812
1,00,12,08,2,10.0753
1,00,13,08,2,11.057
1,00,14,08,2,15.2066
1,00,15,08,2,15.8099
1,00,16,08,2,14.394
1,00,17,08,2,16.8483
1,00,18,08,2,16.1122
1,00,19,08,2,17.3128
1,00,20,08,2,17.2027
1,00,21,08,2,21.5497
1,00,22,08,2,19.9993
1,00,23,08,2,14.9781
1,00,24,08,2,14.0581
1,00,25,08,2,13.0784
1,00,26,08,2,12.0934
1,00,27,08,2,17.9887
1,00,28,08,2,23.49
1,00,29,08,2,27.6436
1,00,30,08,2,26.5716
1,00,31,08,2,28.8905
1,00,01,09,3,22.4827
1,00,02,09,3,16.6513
1,00,03,09,3,13.2113
1,00,04,09,3,24.0392
1,00,05,09,3,27.9534
1,00,06,09,3,23.1113
1,00,07,09,3,18.6014
1,00,08,09,3,9.56
1,00,09,09,3,16.8887
1,00,10,09,3,15.9213
1,00,11,09,3,21.4231
